42,100.0,24,80.0,1.0,2.0,0,1,19.100000000000136,593.8861596597515,355.74663700204866
42,100.0,24,80.0,1.0,2.0,3,1,23.250000000000195,603.1280032848717,431.27084149390015
42,100.0,24,80.0,1.0,2.0,1,1,25.60000000000023,588.181748884054,475.697077667746
42,100.0,24,80.0,1.0,2.0,4,0,67.7499999999983,400.8859527423264,235.34949005368534
42,100.0,24,80.0,1.0,2.0,2,0,70.44999999999814,379.3332067053114,284.2215042110388
42,100.0,24,80.0,1.0,2.0,0,1,19.100000000000136,593.8861596597515,355.74663700204866
42,100.0,24,80.0,1.0,2.0,3,1,23.250000000000195,603.1280032848717,431.27084149390015
42,100.0,24,80.0,1.0,2.0,1,1,25.60000000000023,588.181748884054,475.697077667746
42,100.0,24,80.0,1.0,2.0,0,1,19.100000000000136,593.8861596597515,355.74663700204866
42,100.0,24,80.0,1.0,2.0,3,1,23.250000000000195,603.1280032848717,431.27084149390015
42,100.0,24,80.0,1.0,2.0,1,1,25.60000000000023,588.181748884054,475.697077667746
42,100.0,24,80.0,1.0,2.0,4,0,67.7499999999983,400.8859527423264,235.34949005368534
42,100.0,24,80.0,1.0,2.0,2,0,70.44999999999814,379.3332067053114,284.2215042110388
42,100.0,24,80.0,1.0,2.0,0,1,19.100000000000136,593.8861596597515,355.74663700204866
42,100.0,24,80.0,1.0,2.0,3,1,23.250000000000195,603.1280032848717,431.27084149390015
42,100.0,24,80.0,1.0,2.0,1,1,25.60000000000023,588.181748884054,475.697077667746
42,100.0,24,80.0,1.0,2.0,4,0,67.7499999999983,400.8859527423264,235.34949005368534
42,100.0,24,80.0,1.0,2.0,2,0,70.44999999999814,379.3332067053114,284.2215042110388
42,100.0,24,80.0,1.0,2.0,3,0,30.200000000000294,603.1280032848717,431.27084149390015
42,100.0,24,80.0,1.0,2.0,4,1,45.74999999999954,400.8859527423264,235.34949005368534
42,100.0,24,80.0,1.0,2.0,1,0,47.64999999999943,588.181748884054,475.697077667746
42,100.0,24,80.0,1.0,2.0,2,1,48.449999999999385,379.3332067053114,284.2215042110388
42,100.0,24,80.0,1.0,2.0,0,0,54.049999999999066,593.8861596597515,355.74663700204866
23,100.0,24,80.0,1.0,2.0,2,0,9.099999999999994,785.2410074748298,347.86483310852117
23,100.0,24,80.0,1.0,2.0,0,0,12.400000000000041,747.022325967798,294.85902743314256
23,100.0,24,80.0,1.0,2.0,1,0,14.40000000000007,734.417854046382,322.2264167811626
23,100.0,24,80.0,1.0,2.0,3,0,53.59999999999909,336.29515475639136,241.61674979003132
23,100.0,24,80.0,1.0,2.0,4,1,65.74999999999841,696.1288108957601,437.0576907522063
23,100.0,24,80.0,1.0,2.0,2,1,8.84999999999999,785.2410074748298,347.86483310852117
23,100.0,24,80.0,1.0,2.0,0,1,12.150000000000038,747.022325967798,294.85902743314256
23,100.0,24,80.0,1.0,2.0,1,0,14.600000000000072,734.417854046382,322.2264167811626
23,100.0,24,80.0,1.0,2.0,4,0,61.49999999999864,696.1288108957601,437.0576907522063
23,100.0,24,80.0,1.0,2.0,2,1,8.84999999999999,785.2410074748298,347.86483310852117
23,100.0,24,80.0,1.0,2.0,0,1,12.150000000000038,747.022325967798,294.85902743314256
23,100.0,24,80.0,1.0,2.0,1,0,14.600000000000072,734.417854046382,322.2264167811626
23,100.0,24,80.0,1.0,2.0,2,1,8.84999999999999,785.2410074748298,347.86483310852117
23,100.0,24,80.0,1.0,2.0,0,1,12.150000000000038,747.022325967798,294.85902743314256
23,100.0,24,80.0,1.0,2.0,1,0,14.600000000000072,734.417854046382,322.2264167811626
23,100.0,24,80.0,1.0,2.0,4,0,61.49999999999864,696.1288108957601,437.0576907522063
23,100.0,24,80.0,1.0,2.0,3,1,125.799999999995,336.29515475639136,241.61674979003132
1,100.0,24,80.0,1.0,2.0,4,1,20.65000000000016,857.2989521298092,249.76931040975555
1,100.0,24,80.0,1.0,2.0,0,1,38.34999999999996,862.2958223264455,445.0480983211497
1,100.0,24,80.0,1.0,2.0,2,0,41.049999999999805,330.64262676953626,270.8626242713369
1,100.0,24,80.0,1.0,2.0,3,0,45.94999999999953,270.3031211243375,203.47377720946525
1,100.0,24,80.0,1.0,2.0,1,1,127.99999999999487,714.3878665308436,136.2277265801565
35,100.0,24,80.0,1.0,2.0,0,0,42.59999999999972,381.2943888491787,338.8952957367715
35,100.0,24,80.0,1.0,2.0,1,0,44.949999999999584,351.89759522570296,374.8225659414404
35,100.0,24,80.0,1.0,2.0,3,0,56.09999999999895,234.00952393056252,220.96750773068868
35,100.0,24,80.0,1.0,2.0,4,0,59.699999999998745,193.36183563088832,162.54032437354104
35,100.0,24,80.0,1.0,2.0,2,0,66.69999999999835,136.44820783792287,279.4845938268017
176,100.0,24,80.0,1.0,2.0,2,1,10.700000000000017,734.1355301815942,454.2532408771096
176,100.0,24,80.0,1.0,2.0,3,0,65.39999999999843,229.0431634054642,258.7825649482453
176,100.0,24,80.0,1.0,2.0,1,0,73.59999999999796,288.034161569861,404.3298382033742
176,100.0,24,80.0,1.0,2.0,4,1,75.19999999999787,586.473450215911,141.89975366545866
176,100.0,24,80.0,1.0,2.0,0,0,97.89999999999658,239.50826707769056,466.9248490178175
